post_id	reply_id	sarcasm
7uaac	c07fd66	1
7uaac	c07fjge	0
7u896	c07f3md	1
7u896	c07f3ls	0
7visa	c07jcz3	0
7visa	c07it38	1
7vq9q	c07jfvv	1
7vq9q	c07jy05	0
7xdys	c07o37s	1
7xdys	c07o350	0
7xvrx	c07pkib	1
7xvrx	c07phl1	0
7xurj	c07pdms	1
7xurj	c07pcf8	0
7xrs1	c07p45v	1
7xrs1	c07p5t2	0
7xq71	c07p2bt	1
7xq71	c07p1g4	0
7z9gp	c07t7ma	0
7z9gp	c07t9hn	1
7zh4a	c07tw3b	0
7zh4a	c07tw7x	1
7zgc5	c07twjg	1
7zgc5	c07u16m	0
8081z	c07vyls	1
8081z	c07vwtz	0
bl2w1	c0nazwk	0
bl2w1	c0nbw9o	1
blqdq	c0nds8j	1
blqdq	c0ndqf4	0
blp2g	c0ne0tl	0
blp2g	c0ne2bp	1
blonw	c0ndxff	0
blonw	c0ne8gp	1
bln1z	c0ndefe	1
bln1z	c0ndajx	0
bm15b	c0nga5r	1
bm15b	c0nfeqh	0
blzsw	c0nff27	0
blzsw	c0nfbrs	1
bmb8u	c0nguxo	1
bmb8u	c0nh4qz	0
bm9yo	c0nh0jw	1
bm9yo	c0nhdes	0
bnbya	c0nm7mg	1
bnbya	c0nmb9u	0
bn661	c0nlmug	0
bn661	c0nl5vz	1
bn3rq	c0nkxns	1
bn3rq	c0nkyh9	0
bntyc	c0np3mb	1
bntyc	c0npdrk	0
bodsp	c0nsg0d	1
bodsp	c0nsjkt	0
bob9z	c0nsdio	0
bob9z	c0ns025	1
bo7c5	c0nqx9i	0
bo7c5	c0nqhrm	1
bo2c4	c0npvrv	0
bo2c4	c0nqrko	1
bnzgx	c0npxr7	1
bnzgx	c0nqen3	0
bovx9	c0nuy2r	0
bovx9	c0nuf5p	1
botap	c0nubqr	1
botap	c0nu8nm	0
bot7w	c0nthwf	1
bot7w	c0ntkcm	0
bogsl	c0ns8za	0
bogsl	c0ns17t	1
bp4k7	c0nvkkm	1
bp4k7	c0nykk4	0
bp15p	c0nuwx0	0
bp15p	c0nv0o4	1
bpkof	c0nyigy	0
bpkof	c0ny03s	1
bpuo1	c0nzcjq	0
bpuo1	c0nz11j	1
bpmsr	c0nyfjd	0
bpmsr	c0ny5uy	1
bqrlx	c0o3x8t	0
bqrlx	c0o4cfo	1
bqrip	c0o5bl6	1
bqrip	c0o40hr	0
brjl0	c0o8ru5	0
brjl0	c0o8fq5	1
br8x5	c0o7161	0
br8x5	c0o6m2w	1
bs8lp	c0obur6	1
bs8lp	c0obbtd	0
bspas	c0odrdp	1
bspas	c0odwvk	0
bt5fx	c0ofj6o	0
bt5fx	c0ofse7	1
bt3cp	c0ofpb3	1
bt3cp	c0ofq22	0
btorf	c0oi29b	1
btorf	c0oi7k2	0
btkn4	c0ohjgh	0
btkn4	c0ohn2v	1
butpi	c0onoab	1
butpi	c0onnpt	0
bugbo	c0omj4i	0
bugbo	c0olz3n	1
bv5hq	c0op8tz	1
bv5hq	c0op86g	0
bv4d3	c0opsan	1
bv4d3	c0oqv0w	0
bvykc	c0ou4yb	0
bvykc	c0ouz5z	1
bwtki	c0oye1i	1
bwtki	c0oyk5o	0
bwt1m	c0ozzfo	1
bwt1m	c0oycmf	0
byijj	c0p7bpy	0
byijj	c0p7e29	1
byegb	c0p7438	1
byegb	c0p6f5s	0
hp2hu	c1x6qka	0
hp2hu	c1x6sgy	1
hq3k8	c1xfeao	0
hq3k8	c1xf3bn	1
hq30t	c1xf4sa	0
hq30t	c1xgr3s	1
hq0sx	c1xfd35	0
hq0sx	c1xgydp	1
hpukt	c1xfceo	1
hpukt	c1xfgn5	0
hpuic	c1xczzt	0
hpuic	c1xcudl	1
hpovx	c1xd199	0
hpovx	c1xcucz	1
hqvdx	c1xmvsv	0
hqvdx	c1xozon	1
hqrk0	c1xnjv9	0
hqrk0	c1xn0b8	1
hrbv8	c1xr6vc	0
hrbv8	c1xr5k0	1
hr966	c1xp8ui	0
hr966	c1xq7xw	1
hr8zq	c1xp86h	1
hr8zq	c1xowut	0
hs97d	c1xzok1	1
hs97d	c1xxfqd	0
hs0x2	c1xvrr2	0
hs0x2	c1xwbto	1
hsuct	c1y7kxh	1
hsuct	c1y4p5t	0
hsjn7	c1y2vke	1
hsjn7	c1y3ex2	0
htlas	c1yaa5p	1
htlas	c1yatgy	0
htge0	c1y8lts	1
htge0	c1y8688	0
htbrz	c1yaiqy	1
htbrz	c1y80cq	0
huxxi	c1ykqww	0
huxxi	c1ykwmo	1
huqj6	c1ykimu	1
huqj6	c1ykqjm	0
hunle	c1yi9xc	0
hunle	c1yikpl	1
hukap	c1yhvlj	1
hukap	c1ylp8w	0
hujgx	c1yj7gp	1
hujgx	c1ym2k7	0
hui12	c1yh5hj	0
hui12	c1yjf8x	1
hu6ua	c1yh3ao	0
hu6ua	c1yhr8a	1
hvpvl	c1yt769	0
hvpvl	c1yt161	1
hvocw	c1yreo7	1
hvocw	c1yr452	0
hvo46	c1yt7t7	0
hvo46	c1yswhf	1
hwevq	c1yy9x4	0
hwevq	c1ywqa7	1
hweur	c1ywqxq	1
hweur	c1yx3l7	0
hwehj	c1yxxfj	0
hwehj	c1yz7yx	1
hwedf	c1ywy7e	1
hwedf	c1z1wvb	0
hwb0x	c1ywekj	1
hwb0x	c1ywf4p	0
hw8sq	c1yzqq4	0
hw8sq	c1yvlpe	1
hw2x8	c1z18is	0
hw2x8	c1yu73p	1
hy0bj	c1zdbtk	0
hy0bj	c1ze7l7	1
hxx6j	c1zbmaf	0
hxx6j	c1zb7g1	1
hxq7q	c1z8yaj	0
hxq7q	c1z9ovu	1
hyn6a	c1zmpvs	0
hyn6a	c1zs40c	1
hyhk9	c1zg116	0
hyhk9	c1zlkeb	1
hzqlq	c1zrgi6	0
hzqlq	c1zrvdr	1
hzegt	c1zmz1t	0
hzegt	c1zoidz	1
hzapo	c1zqmva	0
hzapo	c1zm302	1
hz8i7	c1zn481	1
hz8i7	c1zn3zi	0
i0k0a	c1zw8l0	0
i0k0a	c1zxsn5	1
i0c3o	c1zynlc	1
i0c3o	c1zvwai	0
i08qc	c1zt64w	0
i08qc	c1zumjt	1
i00bv	c1zyblo	0
i00bv	c1zt0fh	1
i1a27	c206rjh	0
i1a27	c202zze	1
i13u1	c201uo6	0
i13u1	c202g3l	1
i0wrn	c200d5j	0
i0wrn	c2007j1	1
i207r	c20cz8o	0
i207r	c20cvdh	1
i3736	c20isbg	1
i3736	c20m8bg	0
i353l	c20iuo1	0
i353l	c20iqmt	1
i2ymi	c20hq1d	0
i2ymi	c20iv5x	1
i3phh	c20qer8	0
i3phh	c20puwi	1
i3pbk	c20orkq	1
i3pbk	c20pclm	0
i3jeq	c20lpme	0
i3jeq	c20mt0a	1
i3ibi	c20llnw	1
i3ibi	c20lwwi	0
i3b97	c20llzn	0
i3b97	c20lfmz	1
i39ti	c20jnpx	0
i39ti	c20lpar	1
i4ktc	c20w3q1	0
i4ktc	c20vfv0	1
i4ix8	c20u952	1
i4ix8	c20ud8d	0
i40xe	c20qhcg	1
i40xe	c20qzvg	0
i3wye	c20sbnx	1
i3wye	c20peu9	0
i5diy	c212i73	0
i5diy	c214sr8	1
i5adh	c214g1r	1
i5adh	c211sml	0
i4vi2	c20y2xk	0
i4vi2	c20yrju	1
i64br	c21a9be	1
i64br	c218zkx	0
i5r2v	c215v0t	0
i5r2v	c214u6d	1
i7jc9	c21mao0	1
i7jc9	c21jgee	0
i73v3	c21fgnb	1
i73v3	c21h87j	0
i6wn3	c21eqpj	0
i6wn3	c21fa62	1
i6us1	c21ehg9	0
i6us1	c21d9s0	1
i7q58	c21lu0i	0
i7q58	c21nvye	1
i7oek	c21jy1s	0
i7oek	c21jxc1	1
i7y1j	c21m2ud	0
i7y1j	c21m6az	1
i7szz	c21ouj2	1
i7szz	c21lmxe	0
i9v81	c226n80	0
i9v81	c222zna	1
i9ogl	c220qct	0
i9ogl	c221cjn	1
i9m7l	c221mu0	0
i9m7l	c223720	1
i9k1z	c222edx	1
i9k1z	c2219vu	0
iabwj	c22656r	1
iabwj	c225rql	0
ia6fu	c225de5	1
ia6fu	c225byd	0
ia0ai	c2252vq	1
ia0ai	c225g47	0
i9xfh	c223zcd	1
i9xfh	c223avb	0
ib9tn	c22de1z	0
ib9tn	c22flr4	1
ib45c	c22dh9b	0
ib45c	c22cc2n	1
iawr8	c22aktp	1
iawr8	c22akhh	0
icc2r	c22n16s	0
icc2r	c22mi17	1
ic7i3	c22m35j	1
ic7i3	c22n3fx	0
ibvdg	c22k6sr	0
ibvdg	c22i5lh	1
ibuav	c22j211	1
ibuav	c22ixzj	0
ide1f	c22w2fc	0
ide1f	c22uld1	1
id0h3	c22syj8	0
id0h3	c22sjbx	1
xj6b8	c5mvzoa	1
xj6b8	c5mtbod	0
xiwa4	c5mtdwf	1
xiwa4	c5mtp3a	0
xitez	c5mpvs0	1
xitez	c5mpulf	0
xirb9	c5mq2et	1
xirb9	c5mp6x9	0
xio9n	c5mti5y	0
xio9n	c5n0jvo	1
xin9e	c5mtea3	1
xin9e	c5n9bzx	0
xifn3	c5mw1uf	1
xifn3	c5mqc7d	0
xhzfi	c5mj92y	0
xhzfi	c5mj98s	1
xhpdq	c5mgltp	0
xhpdq	c5mkf2s	1
xkwll	c5nk36f	0
xkwll	c5nfnly	1
xkml5	c5n9bku	1
xkml5	c5o8x6p	0
xkhfz	c5nlc31	0
xkhfz	c5ngaua	1
xkfhp	c5na0mx	0
xkfhp	c5n60iy	1
xkdu1	c5nco7y	0
xkdu1	c5ndvsk	1
xk8bz	c5ndf28	1
xk8bz	c5n3dsq	0
xk2xk	c5n5fsl	1
xk2xk	c5nakyt	0
xjyq2	c5n3rtf	1
xjyq2	c5nie5m	0
xjibz	c5mwo1s	0
xjibz	c5mwwdw	1
xja45	c5mz7w8	1
xja45	c5n1woe	0
xn6jx	c5nyusj	1
xn6jx	c5nytrt	0
xn3km	c5phudl	0
xn3km	c5nt0ud	1
xn1en	c5o5qy7	0
xn1en	c5pmt6i	1
xmz7c	c5ntyn0	1
xmz7c	c5o4pqe	0
xmwct	c5nskhr	0
xmwct	c5nvi34	1
xmr83	c5nxlnd	1
xmr83	c5nq7tu	0
xmihn	c5nwll3	0
xmihn	c5nz4t4	1
xmaya	c5nsgds	1
xmaya	c5nrf5q	0
xm6l2	c5nlldi	0
xm6l2	c5nof8o	1
xlj5o	c5nkgz8	0
xlj5o	c5neap0	1
xocy1	c5o9nyt	1
xocy1	c5o5ymh	0
xo37j	c5o47df	1
xo37j	c5o42ku	0
xns4h	c5o0wae	1
xns4h	c5nzu62	0
xnh5n	c5o25gw	0
xnh5n	c5o0o69	1
xq9ka	c5oo2se	1
xq9ka	c5ov8km	0
xq162	c5ooqql	0
xq162	c5olqgs	1
xpxwu	c5onu7q	0
xpxwu	c5olswi	1
xp6qv	c5ock5o	0
xp6qv	c5od0lf	1
xslm1	c5paunv	1
xslm1	c5p9sfy	0
xski4	c5pethw	1
xski4	c5patr9	0
xs25b	c5p9wiv	1
xs25b	c5p8jjx	0
xrrzh	c5p1eb2	0
xrrzh	c5p5x6v	1
xrms4	c5p1o60	0
xrms4	c5p0im4	1
xrcni	c5oyll5	0
xrcni	c5peg2s	1
xr9ny	c5p8ivv	0
xr9ny	c5oxlgo	1
xr5o7	c5ox3ce	0
xr5o7	c5p51yt	1
xr4sc	c5oxc5m	0
xr4sc	c5oxctw	1
xqz9n	c5otswe	0
xqz9n	c5otsbn	1
xqw9c	c5oxsoy	0
xqw9c	c5ox3b4	1
xunou	c5ppzvj	1
xunou	c5pq4bd	0
xui4t	c5pznhp	1
xui4t	c5pz7j8	0
xubcl	c5pp120	0
xubcl	c5pq221	1
xubad	c5q0ash	0
xubad	c5q3f6z	1
xu706	c5poh61	1
xu706	c5pq2ly	0
xu6jn	c5pn6qm	1
xu6jn	c5pobp6	0
xu6d0	c5ply0f	0
xu6d0	c5pmmjd	1
xu52u	c5pldhe	0
xu52u	c5pl7ve	1
xu3c6	c5pm6hc	1
xu3c6	c5pm7fs	0
xtyzw	c5pn95g	1
xtyzw	c5pt0s8	0
xtwu1	c5pj407	0
xtwu1	c5pj2tf	1
